problem_name,count
What allows red blood cells to carry oxygen?,33
What condition of an atom's outer shell indicates it is in a stable state?,33
What determines an atom's bonding potential?,33
What do physical changes affect in a substance?,33
What do veins transport back to the heart?,33
What does a new odor indicate in a chemical reaction?,33
What does an unexpected color change in a substance usually indicate?,33
What does breathing primarily involve?,33
What does the formation of bubbles in a reaction mixture signify?,33
What does the nasal cavity do to the air?,33
What geological event is most associated with transform plate boundaries?,33
What happens to potential energy as the roller coaster goes down?,33
What indicates a chemical change has occurred during a reaction?,33
What is a concern associated with nuclear power?,33
What is a financial drawback of wind energy?,33
What is a potential environmental impact of geothermal energy?,33
What is a property that metalloids share with metals?,33
What is chyme?,33
What is erosion's role in sedimentary rock formation?,33
What is the main function of arteries in the cardiovascular system?,33
What is the result of balanced forces acting on an object?,33
What is the role of sensory neurons?,33
What is the role of the ureters in the Urinary System?,33
What is unique about how radiation transfers heat?,33
What principle does a balanced chemical equation demonstrate?,33
What role do nerves play in the Nervous System?,33
What role do white blood cells play in the body?,33
What role does the urethra play?,33
What transforms existing rocks into metamorphic rocks?,33
What type of charge do protons have?,33
"When speeds vary, time can be calculated by calculating the _____ speed.",33
Where are protons located within an atom?,33
Where are valence electrons located?,33
Where do ureters transport urine?,33
Which of the following is evidence of a chemical change?,33
Which organ is central to the respiratory system?,33
Which subatomic particle has a higher mass?,33
Which systems are involved in maintaining homeostasis?,33
White blood cells are part of the body's _____ system.,33
White blood cells are responsible for fighting off _____ and diseases.,33
White blood cells help fight _____ in the body.,33
Why are non-metals used in insulation?,33
Why are platelets important?,33
Why can't non-metals be stretched into wires?,33
Why do non-metals have low boiling/melting points?,33
______ occur at transform plate boundaries due to the sliding motion of plates.,33
A balanced chemical equation follows the law of _____ of mass.,32
A chemical change does not produce any new substances.,32
"A chemical equation only shows the initial and final states of reactants and products, not their transformation.",32
A compound's chemical formula reveals the _____ of elements it contains.,32
"A molecule of glucose (C6H12O6) includes carbon, hydrogen, and _____.",32
A neutron has a _____ charge.,32
A temperature increase in a reaction always indicates an external heat source was used.,32
Bubbling during a reaction always indicates a physical change.,32
Cementation involves minerals _____ sediment particles together.,32
Define 'orbital' in the context of atomic structure.,32
Different materials conduct heat at the same rate.,32
Electrons have a _____ charge.,32
Electrons in every shell are called valence electrons.,32
Exhaled air contains more _____ and less oxygen than inhaled air.,32
Finding new substances after a reaction typically indicates a chemical change.,32
Food is absorbed from the mouth to the stomach directly.,32
Geothermal energy plants have high initial costs but _____ operating costs.,32
Geothermal energy usage can lead to subsidence if not carefully managed.,32
"Given speed and time, the average speed formula can calculate _____.",32
How are products identified in a chemical equation?,32
How can electromagnetic waves in radiation transfer heat over long distances?,32
How can metamorphic rocks transform into igneous rocks?,32
How does radiation differ from conduction and convection in terms of thermal energy transfer?,32
How does wind energy contribute to environmental protection?,32
How is heat transferred in conduction?,32
How is the number of neutrons in an atom determined?,32
How many electron shells do elements in the first period have?,32
Igneous rocks are primarily found in areas with significant _____ activity.,32
Igneous rocks are primarily found near areas that have experienced volcanic activity.,32
Inhaled air contains more carbon dioxide and less oxygen than exhaled air.,32
"Metals are malleable, enabling them to be shaped into thin sheets.",32
Metals are primarily found on the _____ side of the periodic table's staircase.,32
Metamorphic rocks are formed from igneous or sedimentary rocks through _____ and pressure.,32
Motor neurons carry signals from the brain to muscles and glands.,32
"Net force is the _____ force acting on an object, considering all directions.",32
Non-metals typically have _____ boiling and melting points.,32
Nuclear power plants cannot operate continuously to produce electricity.,32
Nutrients are primarily absorbed in the large intestine.,32
Oxygen is used by cells for _____ respiration.,32
Painting wood changes its _____ but not its chemical structure.,32
Physical changes alter the chemical structure of a substance.,32
Plasma is the _____ part of blood that carries cells and nutrients.,32
Precipitate formation from a solution always indicates a physical change.,32
Protons are located in the _____ of an atom.,32
Protons have a lower mass than electrons.,32
Radiation transfers heat through electromagnetic waves.,32
Sediments are transformed into sedimentary rocks through compaction and _____.,32
"Shell, orbital, electron cloud, and energy level are terms associated with the nucleus itself.",32
Speed is measured in units of time per distance.,32
Temperature equilibrium can only occur in controlled environments.,32
The Excretory system's main function is to eliminate _____ products.,32
"The _____ is the central organ of the cardiovascular system, pumping blood throughout the body.",32
The _____ is the entry point for food in the digestive system.,32
The atomic number equals the number of protons in an atom.,32
The cardiovascular system delivers _____ and nutrients to body cells.,32
The circulatory system doesn't need to interact with the nervous system to supply the brain with blood.,32
The diaphragm transfers oxygen directly to the blood.,32
"The group number for elements in groups 1, 2, and 13-18 indicates the number of valence electrons.",32
The hamstring is crucial for the process of breathing.,32
The identity of an element is determined by its unique number of _____.,32
The lymphatic system contributes to tissue health by removing _____ products and cellular debris.,32
The mass number of an atom is determined by adding its number of neutrons to its atomic number.,32
The nervous system guides the body to _____ after processing information.,32
The net force on an object is zero if it is moving at a constant velocity.,32
The number of electron shells in an element decreases as you move down the periods in the periodic table.,32
The primary organs of the respiratory system where gas exchange occurs are the lungs.,32
The process of _____ and pressure is essential for the formation of metamorphic rocks.,32
The production of a _____ is a sign of a chemical change.,32
The property that enables metals to be stretched into wires is called ductility.,32
The reactivity of elements is influenced by their number of _____ electrons.,32
The skeletal and nervous systems work together to protect the _____ and spinal cord.,32
The skeletal system's ability to _____ itself after injury is critical for maintaining body integrity.,32
The subscript outside the parentheses applies to _____ elements inside.,32
The texture of igneous rocks is unrelated to the rate at which they cool.,32
Unbalanced forces on an object always result in its acceleration or deceleration.,32
Unbalanced forces will not cause any change in an object's motion.,32
Unit changes in distance or time affect the calculation of speed.,32
Ureters transport urine from the kidneys to the _____.,32
What affects the characteristics of a metamorphic rock?,32
What are some concerns associated with wind farms?,32
What best indicates a chemical change has likely occurred?,32
What can be said about the boiling and melting points of non-metals?,32
What crystal size results from magma cooling slowly?,32
What distinguishes voluntary muscles from involuntary muscles?,32
What do balanced forces result in?,32
What do physical changes alter?,32
What does a change in texture of a substance likely indicate?,32
What does a positive net force indicate about an object's movement?,32
What does the atomic mass on an element box indicate?,32
"What does the group number indicate for elements in groups 1, 2, and 13-18?",32
What does the stomach convert food into?,32
What elements are present in a molecule of glucose (C6H12O6)?,32
What environmental issue can unmanaged geothermal energy cause?,32
What function do sensory neurons perform in the Nervous System?,32
What happens at a subduction zone?,32
What happens to the breathing rate during physical activity?,32
What information about a compound is conveyed by its chemical formula?,32
What is cementation?,32
What is the main function of the bladder?,32
What is the role of the nasal cavity in the respiratory system?,32
What is the synapse?,32
What makes non-metals suitable for insulation?,32
What makes oil an efficient source of energy?,32
What must objects do to reach equilibrium?,32
What must you do if the units of distance or time are changed when calculating speed?,32
What occurs at transform plate boundaries due to the sliding of plates?,32
What often indicates a chemical change in a liquid?,32
What process can transform metamorphic rocks into igneous rocks?,32
What role do the ureters play in the Urinary System?,32
What subatomic particles contribute to an atom's mass?,32
What texture do igneous rocks have when formed from quickly cooled lava?,32
What texture is characteristic of igneous rocks?,32
What transmits information throughout the body?,32
What type of evidence supports the existence of Pangea?,32
What waste product does the respiratory system expel?,32
Where are reactants typically found in a chemical equation?,32
Where can igneous rocks typically be found?,32
Which elements are in carbon dioxide?,32
Which joint allows for rotational movement and is found in the shoulder?,32
Which process is crucial for forming igneous rocks from metamorphic rocks?,32
Which property of metals makes them suitable for shaping into wires and sheets for industrial use?,32
Which statement best describes the appearance of non-metals?,32
Which system does the nervous system work with to control movement?,32
Which system is responsible for maintaining the body's fluid balance?,32
White blood cells are primarily part of which body system?,32
Why are atoms with incomplete outer shells more reactive?,32
Why are atoms with nearly full or empty outer shells reactive?,32
Why is it important to use consistent units when calculating speed?,32
Why might a reaction produce sound?,32
Wind energy is considered _____ because it can be replenished and does not emit greenhouse gases.,32
A chemical equation is considered balanced if there are more atoms of some elements on one side than the other.,31
A color change in a substance often indicates a chemical change.,31
A compound is formed by physically mixing two or more elements without any chemical bonding.,31
A full outer shell typically contains _____ electrons.,31
"According to the Law of Conservation of Mass, the mass of reactants is _____ to the mass of products in a chemical reaction.",31
An element in the second period has only one electron shell.,31
Arteries carry oxygen-rich blood away from the heart to the body.,31
Atoms achieve stability by having a full _____ shell.,31
Atoms can only achieve a full outer shell by gaining electrons.,31
Banding and _____ are key indicators of metamorphic rocks.,31
Coefficients apply to _____ atoms within a molecule's formula.,31
Convection can occur in a vacuum.,31
Define 'electron cloud' in the context of an atom.,31
Define synapse.,31
Deposition leads to the formation of igneous rocks.,31
Dissolving salt in water is an example of a chemical change.,31
Dissolving sugar in water and then recovering it by evaporation demonstrates a physical change.,31
Dissolving sugar in water results in new substances being formed.,31
Explain why atoms with incomplete outer shells are more reactive.,31
Find the total number of atoms by _____ the subscript outside the parenthesis by the subscript of each atom inside.,31
Freezing water into ice changes its state but not its chemical _____.,31
Give an example of where involuntary muscles are found.,31
Heat moves from _____ to cooler objects until equilibrium is reached.,31
High _____ materials transfer heat more quickly.,31
How can sedimentary rocks become igneous rocks?,31
How can you find the mass number of an atom?,31
How do elements in the same period compare in terms of electron shells?,31
How do extrusive igneous rocks form?,31
How do non-metals behave in terms of conducting electricity?,31
How do valence electrons affect an atom's chemical reactivity?,31
How does convection transfer heat?,31
How does the skeletal system contribute to body movement?,31
How is convection used in artificial systems?,31
"If an object remains at rest or moves at a constant speed in a straight line, the forces acting on it are unbalanced.",31
"In a chemical equation, reactants are listed _____ the yield sign.",31
"In chemical formulas, coefficients multiply the number of each _____ indicated by the subscripts.",31
Kidneys regulate the body's fluid balance by filtering and returning _____ to the bloodstream.,31
"Lymphatic fluid contains _______, salts, glucose, and immune cells.",31
Metalloids share properties with both metals and non-metals.,31
Metamorphic rocks require compaction and cementation to transform into igneous rocks.,31
Nerves pass signals across synapses using chemical _____.,31
Odor changes during a reaction suggest a _____ change.,31
Parentheses in chemical formulas are used to indicate that the atoms inside are gases.,31
Potential energy increases as the roller coaster descends.,31
Products are identified by their _____ after the yield sign.,31
Radiation can transfer heat without needing a medium.,31
Sedimentary rocks are primarily formed by the cooling of lava.,31
Shredding paper demonstrates which type of change?,31
Temperature equilibrium occurs _____ over time.,31
The Urinary System helps maintain _____ balance in the body.,31
The _____ is an example of an involuntary muscle.,31
The atomic number is the key factor in an atom's ability to form chemical bonds.,31
The digestive system's primary function is to break down food into nutrients the body can use.,31
The formation of a _____ during a reaction indicates a chemical change.,31
The formation of a precipitate in a mixture always indicates a chemical change.,31
The formation of a precipitate is a clear indicator of a chemical change.,31
The heart acts as the _____ that drives the cardiovascular system.,31
The heart and lungs are key components of the nervous system.,31
The main role of the skeletal system is to facilitate digestion through enzyme production.,31
"The nasal cavity warms, moistens, and filters the air as the first part of the respiratory system.",31
The nervous system _____ information from sensory organs.,31
The number of neutrons in an atom is found by subtracting the atomic number from the _____.,31
The object's size determines the direction of its motion.,31
The release or absorption of energy during a reaction always indicates a physical change.,31
The rock cycle shows how metamorphic rocks can change into _____ or sedimentary rocks.,31
The staircase on the periodic table does not assist in differentiating metals from non-metals.,31
The texture of igneous rocks is determined by the _____ rate of magma or lava.,31
The type of metamorphic rock formed is unrelated to the original rock's composition.,31
The urge to breathe is primarily triggered by increased _____ levels in the blood.,31
The yield sign in a chemical equation represents the reactants.,31
Time can be calculated over varying speeds by calculating the average speed.,31
"To find net force, one should subtract forces acting in opposite directions and add those in the same direction.",31
Unbalanced equations have different numbers of one or more types of _____ on each side.,31
Valence electrons are found in every shell of an atom.,31
Weathering causes rocks to melt into magma.,31
What are chemical compounds made up of?,31
What are key indicators of metamorphic rocks?,31
What are products in a chemical equation?,31
What are voluntary muscles?,31
What can chemical changes create?,31
What determines an element's atomic number?,31
What does convection require to take place?,31
What does erosion do to sediment?,31
What does precipitate formation in a mixture indicate?,31
What does the calculation of average speed not consider?,31
What does the formation of a precipitate signify?,31
What does the term 'electron cloud' describe in an atom?,31
What does the yield sign (?) do in a chemical equation?,31
What essential functions do involuntary muscles control?,31
What geological event is most associated with the movement of Earth's plates at transform boundaries?,31
What indicates an equation is unbalanced?,31
What is a subduction zone?,31
What is the central organ of the cardiovascular system responsible for pumping blood?,31
What is the function of lymph nodes in the lymphatic system?,31
What is the function of the urethra?,31
What is the nervous system's main function?,31
What is the role of homeostasis in the body?,31
What kind of change is freezing water into ice?,31
What method allows for time calculation over varying speeds?,31
What must happen for igneous rocks to form?,31
What process forms igneous rocks?,31
What role does the nervous system play in homeostasis?,31
"What suggests a chemical change has occurred, without using external sources?",31
What two forces transform existing rocks into metamorphic rocks?,31
What type of energy is minimal at the highest point of a roller coaster?,31
What type of landform is created by the subduction of one oceanic plate beneath another?,31
What type of pollution do wind farms contribute to?,31
What uniquely identifies each element?,31
Where are electrons primarily located within an atom?,31
Where are metamorphic rocks most likely to be found?,31
Which geological feature is least likely to be formed at a transform plate boundary?,31
Which joints do not allow bone movement?,31
Which muscle plays a key role in breathing by contracting and relaxing?,31
Which of the following is often a sign of a chemical change in a liquid?,31
Which organs are primarily responsible for gas exchange in the respiratory system?,31
Which processes lead to the formation of sedimentary rocks?,31
White blood cells function to fight off infections in the body.,31
White blood cells play a crucial role in the body's _____ response.,31
Why are electrons unique compared to other subatomic particles?,31
Why are fossils commonly found in sedimentary rocks?,31
Why do cells need oxygen?,31
Why is it important for units of speed and distance to match in time calculations?,31
Why must speed be in a form compatible with the distance unit?,31
_____ and protons have similar masses.,31
_____ can transfer heat through the vacuum of space.,31
_____ is crucial for the transformation of metamorphic rocks into igneous rocks.,31
A _____ change is a strong indicator of a chemical change.,30
A graph with distance on the y-axis and time on the x-axis displays an object's net force.,30
A joint in the skeletal system is a point where two bones meet.,30
A new odor from a reaction mixture always means a physical change has occurred.,30
A new odor indicates a _____ change.,30
A notable change in texture suggests that a new substance may have been created.,30
A stable atom's outer shell typically contains two electrons.,30
"According to the Law of Conservation of Mass, mass is neither _____ nor destroyed in a chemical reaction.",30
"After weathering and erosion, igneous rocks must undergo _____ to become sedimentary rocks.",30
All elements in a given period have the same number of electron shells.,30
Aluminum and polonium are _____ and not considered metalloids.,30
"At transform plate boundaries, two plates slide past each other ______.",30
Balanced forces lead to an acceleration of the object.,30
"Breaking chalk is considered a physical change as it only alters its shape and size, not its chemical structure.",30
Carbon dioxide supports cellular respiration by aiding in energy production.,30
Compounds are represented by a chemical _____.,30
Conduction transfers heat through direct _____ between objects.,30
Consistent units of measurement are _____ for accurate speed calculations.,30
Convection is used in _____ systems to transfer heat.,30
Cooling is a necessary phase in the transformation of metamorphic rocks into sedimentary rocks.,30
Define a joint in the skeletal system.,30
Define involuntary muscles.,30
Each element in the periodic table has a distinctive number of protons.,30
Electrons have a higher mass than protons and neutrons.,30
Elements in Group 18 have low reactivity because their valence shells are _____.,30
Every element adjacent to the 'staircase' on the periodic table is classified as a metalloid.,30
Explain how convection is applied in artificial environments.,30
Explain metalloids' conductivity compared to metals and non-metals.,30
Explain why the release or absorption of heat indicates a chemical change.,30
Formation of a _____ indicates a chemical change has occurred.,30
Geothermal energy production does not release any greenhouse gases.,30
Group 18 elements are unreactive because they have _____ valence electrons.,30
How do atoms achieve stability?,30
How do objects reach equilibrium?,30
How do tectonic plate movements affect the Earth?,30
How do you calculate an object's net force?,30
How does the composition of air change after breathing?,30
How does the nervous system interact with information from sensory organs?,30
How does the nervous system maintain homeostasis?,30
How much genetic material does an offspring receive from each parent in sexual reproduction?,30
Igneous rocks are characterized by a crystalline texture.,30
Igneous rocks are classified as intrusive or _____ based on where they cool.,30
Igneous rocks are formed from cooled _____ or lava.,30
Igneous rocks are formed from cooled magma or lava.,30
Igneous rocks are formed through the process of _____ from magma.,30
"In a chemical equation, the substances before the yield sign are called _____.",30
"In a neutral atom, the number of electrons is equal to the number of _____.",30
"In calculating average speed, variations in _____ during the journey are not considered.",30
"In chemical reactions, the mass of the reactants is always equal to the mass of the products.",30
"In subduction zones, tectonic plates merge to form a single larger plate.",30
Intrusive rocks are a type of igneous rock found beneath the Earth's surface.,30
Involuntary muscles automatically control essential functions such as breathing and the heartbeat.,30
Lymph nodes _____ lymph to remove pathogens.,30
Mass is created during a chemical reaction.,30
Materials with higher conductivity transfer heat more efficiently than those with lower conductivity.,30
Metalloids can display physical properties similar to both metals and non-metals.,30
Metalloids have physical properties of both _____ and non-metals.,30
Metamorphic rocks form at various depths within the Earth's _____,30
Metamorphic rocks may have _____ or non-foliated textures.,30
Mixing vinegar and baking soda produces _____ as a new substance.,30
Mixing vinegar with baking soda does not result in any noticeable change.,30
Mountain ranges can form at _____ plate boundaries.,30
Nerves act as pathways for _____ between the brain and body parts.,30
Non-metals generally have high boiling and melting points.,30
Offspring from asexual reproduction exhibit _____ genetic variation.,30
Protons are found in the electron cloud of an atom.,30
Reactants are always found after the yield sign in a chemical equation.,30
Rusting of iron is a chemical change because it produces a _____ substance.,30
Sedimentary rocks are formed directly from magma.,30
Sedimentary rocks form from _____ compression.,30
Sodium chloride (NaCl) consists of sodium and _____.,30
Solar energy contributes more to greenhouse gas emissions than coal.,30
Tectonic plate movements can lead to earthquakes.,30
The _____ are the main organs in the respiratory system.,30
The _____ is the gap between two neurons where signals are transmitted.,30
The bladder stores _____ until it is expelled from the body.,30
The bladder's primary function in the Excretory system is to filter blood.,30
The calculation of average speed takes into account variations in speed throughout the trip.,30
The calculation of time using distance and speed assumes the speed is consistent.,30
The cardiovascular system is made up only of the heart.,30
The characteristics of a metamorphic rock are influenced by its degree of _____,30
The direction of net force determines the object's _____ direction.,30
The formation of _____ during a reaction can indicate a chemical change.,30
The group number of an element determines the number of electron shells it has.,30
The heart is made of skeletal muscle and requires conscious effort to function.,30
The primary function of the lymphatic system includes the removal of waste products and cellular debris from tissues.,30
The production of _____ during a reaction often indicates a chemical change.,30
The respiratory system expels carbon dioxide as a waste product.,30
The rock cycle is a linear process with a beginning and an end.,30
The rock cycle only involves the formation of sedimentary rocks.,30
The rock cycle shows transitions between different _____ types.,30
The skeletal system plays a crucial role in conjunction with the nervous system to protect the brain and spinal cord.,30
"The terms shell, orbital, electron cloud, and energy level are associated with the area around the _____ where electrons are found.",30
"There are different types of white blood cells, each with specialized functions.",30
"To find an atom's mass number, add its number of neutrons to its _____ number.",30
Unexpected substances after a reaction indicate a _____ change.,30
Ureters are responsible for transporting urine from the kidneys to the bladder.,30
Volcanic eruptions can be caused by the movement of tectonic plates.,30
What determines bonding potential?,30
What do involuntary muscles automatically control?,30
What does a change in smell signify?,30
What does a change in texture indicate?,30
What does burning wood demonstrate?,30
What does ductility refer to in metals?,30
What does precipitate formation indicate?,30
What does sexual reproduction require compared to asexual?,30
What does the Excretory system eliminate from the body?,30
What does the conservation of mass in a chemical reaction imply?,30
What does the nervous system do after processing sensory information?,30
What does the nervous system do with information from sensory organs?,30
What does the period number of an element tell us?,30
What does the rock cycle demonstrate about metamorphic rocks?,30
What does the term 'shell' refer to in the context of atomic structure?,30
What does the trachea connect?,30
What effect do unbalanced forces have on a stationary object?,30
What happens to potential energy as the roller coaster descends?,30
What happens to the genetic material from parents in sexual reproduction?,30
What is the density of water that serves as a reference point for comparing densities?,30
What is the number of electron shells for elements in the third period?,30
What is the role of the trachea in the respiratory system?,30
What makes metalloids unique in terms of physical properties?,30
What property allows metals to be hammered into sheets?,30
What role do blood vessels play in the cardiovascular system?,30
What role do electrons play in atoms?,30
What role does the stomach play in digestion?,30
What waste product is expelled by the respiratory system?,30
Where are blood cells produced in the skeletal system?,30
Where are non-metals located in relation to the staircase?,30
Where does digestion begin and how?,30
Where in the digestive system are nutrients primarily absorbed?,30
"Which is heavier, a proton or an electron?",30
Which method is used in heating and cooling systems to transfer heat?,30
Which of the following are considered key components of the cardiovascular system?,30
Which of the following is an example of a metalloid?,30
Why are atoms with a full outer shell more stable?,30
Why are units important when calculating speed?,30
Why is radiation significant in environmental science and physics?,30
Why is rusting considered a chemical change?,30
Why is safety a concern in nuclear power?,30
Why is the lymphatic system important for tissue health?,30
Why is the skeletal system's ability to repair itself important for body integrity?,30
Wind energy production is always consistent.,30
_____ muscles grow stronger with exercise.,30
A _____ is heavier than an electron.,29
A balanced chemical equation does not follow the law of conservation of mass.,29
A change in color of a substance usually indicates a chemical change.,29
A molecule formula without a coefficient assumes a coefficient of 2.,29
A neutron carries a positive charge.,29
A temperature change when mixing substances is always an indicator of a chemical reaction.,29
An increase in _____ during a reaction suggests a new substance is being formed.,29
Are all elements next to the 'staircase' on the periodic table metalloids?,29
Balanced forces keep a moving object's speed _____,29
Biceps are considered voluntary muscles because we can control their contraction.,29
Biomass to energy conversion is _____ efficient than other sources.,29
Blood cells are produced in the _____ marrow.,29
Bones store minerals such as _____ and phosphorus.,29
Burning wood does not result in new substances.,29
Chemical compounds are made up of _____ or more elements.,29
Conduction requires a medium like air or water to transfer heat.,29
Deposition is not a necessary step in the transformation of igneous rocks into sedimentary rocks.,29
Describe how plates move at transform plate boundaries.,29
Dissolving sugar in water is a _____ change as it can be reversed.,29
"During physical activity, the breathing rate _____ to meet oxygen demand.",29
Electromagnetic waves in radiation can travel through space.,29
Elements in group 1 have 2 valence electrons.,29
Energy continuously converts between kinetic and potential forms on a roller coaster.,29
Erosion is essential for moving sediments to locations where they can form sedimentary rocks.,29
Erosion is important for _____ sediments to new locations.,29
Explain the effect of unbalanced forces on a stationary object.,29
Extrusive igneous rocks are formed from sediment found in rivers.,29
Geothermal energy plants emit more pollutants than fossil fuels.,29
Group 18 elements are very reactive because they have 8 valence electrons.,29
How are igneous rocks formed?,29
How do bones contribute to protecting the body?,29
How do kidneys contribute to the body's fluid balance?,29
How do nerves transmit information?,29
How do plates move at a transform plate boundary?,29
"How do the terms shell, orbital, electron cloud, and energy level aid in understanding atoms?",29
How do you find the total number of atoms for elements within parentheses?,29
How does convection result in the transfer of heat?,29
How does reactivity change across a period from left to right?,29
How does the formation of a gas indicate a chemical change?,29
How is the total number of atoms in a molecule calculated?,29
Igneous rocks are characterized by their _____ texture.,29
"In a chemical equation, what do the molecules placed after the yield sign represent?",29
"In a chemical reaction, the mass of the reactants is always _____ to the mass of the products.",29
In which two parts of the digestive system does chemical digestion primarily occur?,29
Kinetic energy is highest at the lowest point of a roller coaster.,29
Metalloids do not exhibit any properties similar to metals.,29
Metals are used in electrical wiring because they are good _____ of electricity.,29
Non-metals are commonly used in electrical wiring due to their conductivity.,29
Offspring from asexual reproduction are genetically _____ to the single parent.,29
Offspring from sexual reproduction receive all their genetic material from one parent.,29
Potential energy is highest at the _____ of a roller coaster.,29
The Earth's lithosphere is divided into _____ and minor tectonic plates.,29
The Law of Conservation of Mass indicates that mass can be created or destroyed in a chemical reaction.,29
The Nervous System comprises only the central system.,29
The appearance of gas bubbles in a liquid after a reaction is never an indication of a chemical change.,29
The atomic number is found by subtracting the number of _____ from the mass number.,29
The brain serves as the control center of the Nervous System.,29
The color of plasma determines a person's blood type.,29
The first period elements have only _____ electron shell.,29
The genetic material from each parent _____ to form a unique offspring.,29
The heart is considered an involuntary muscle because it operates without _____ control.,29
The nervous system helps in homeostasis by detecting environmental changes.,29
The spinal cord's primary function is to connect the brain to the rest of the body.,29
The sun's energy warms the Earth through _____.,29
The total mass of reactants must _____ the total mass of products in a balanced equation.,29
The yield sign (?) in a chemical equation ______ reactants from products.,29
"To find the atomic number of an element, you subtract the mass number from the number of neutrons.",29
What are the two necessary pieces of information to calculate average speed?,29
What can the production of gas during a reaction signify?,29
What do chemical changes alter?,29
What does a change in smell or taste of a substance usually indicate?,29
What does a color change in a substance indicate?,29
What does a temperature change in a reacting mixture indicate?,29
What does lymphatic fluid contain?,29
What does melting ice exemplify?,29
What does shredding paper illustrate about physical changes?,29
What does temperature equilibrium indicate?,29
What does the formation of a precipitate in a solution typically indicate?,29
What elements make up water?,29
What is a disadvantage of wind energy?,29
"What is common among shell, orbital, electron cloud, and energy level in terms of atomic structure?",29
What is one environmental concern associated with wind turbines?,29
What is the bladder's main function?,29
What is the charge of an electron?,29
What is the role of the spinal cord in the Nervous System?,29
What is the role of the stomach in digestion?,29
What makes a force a vector quantity?,29
What process allows sedimentary rocks to become igneous rocks?,29
What processes transform metamorphic rocks into sedimentary rocks?,29
What property makes metals suitable for use in electrical wiring?,29
What role does erosion play in the formation of sedimentary rocks?,29
What role does the pancreas play in the digestion process?,29
What transforms igneous or sedimentary rocks into metamorphic rocks?,29
What type of charge do electrons have?,29
What type of joint allows for a wide range of movement?,29
What type of joint allows the elbow to bend and straighten?,29
Where are electrons located within an atom?,29
Where are nutrients primarily absorbed?,29
Where are valence electrons located in an atom?,29
Where do mountain ranges form due to plate movements?,29
Where does the exchange of oxygen and carbon dioxide occur within the lungs?,29
Where is potential energy highest on a roller coaster?,29
Where within the Earth do metamorphic rocks form?,29
Which atoms are most reactive?,29
Which element is an exception and not considered a metal despite its position?,29
Which element is an exception to the rule that elements on the left side of the periodic table staircase are metals?,29
Which of the following best describes an element?,29
Which of the following is an example of conduction?,29
Which organ is primarily responsible for filtering blood in the Excretory system?,29
Which processes are crucial for turning sediments into sedimentary rocks?,29
Which systems make up the Nervous System?,29
White blood cells are responsible for fighting off infections and diseases.,29
Why are aluminum and polonium not classified as metalloids?,29
Why are consistent units important in speed calculations?,29
Why are group 1 elements reactive?,29
Why are group 18 elements very unreactive?,29
Why are metals suitable for electrical wiring?,29
Why are volcanoes unlikely to form at transform plate boundaries?,29
Why do different materials conduct heat at different rates?,29
Why do objects transfer heat?,29
Why does a temperature change in a mixture indicate a chemical reaction?,29
"Why is it important to understand the terms shell, orbital, electron cloud, and energy level?",29
Why is nuclear waste management critical?,29
Why is the heart considered an involuntary muscle?,29
Wind energy helps decrease _____ gas emissions.,29
_______ is the type of thermal energy transfer that occurs due to temperature differences causing fluid movement.,29
A balanced chemical equation has the same total mass of reactants and _____ on both sides.,28
A change in _____ or taste indicates a chemical change.,28
A chemical symbol is used to represent a compound.,28
A temperature change in a substance without external heating or cooling indicates a chemical change.,28
Aluminum and polonium are considered exceptions and are not classified as metalloids.,28
An element can be broken down into simpler substances through chemical processes.,28
An orbital represents a well-defined path that electrons follow around the nucleus.,28
Approximately how long ago did Pangea exist?,28
Asexual reproduction can lead to decreased population sizes.,28
"At the lowest point of a roller coaster, the _____ energy is at its maximum while the potential energy is at its minimum.",28
Atoms with a completely full outer shell are the most reactive.,28
Average speed can be determined by dividing the total distance by the total time.,28
"Bile, essential for digesting fats, is produced by the liver.",28
Bones protect internal organs by providing a _____ shield.,28
"Change in energy in the form of heat, light, or sound never indicates a chemical change.",28
Chemical compounds consist of two or more different elements.,28
Chloroplasts are found in both plant and animal cells.,28
Conduction requires direct _____ between objects.,28
Convection occurs when warmer areas of a liquid or gas _____ to cooler areas.,28
Define balanced forces.,28
Distance is calculated by dividing speed with time.,28
Do neutrons have a higher or lower mass than electrons?,28
Elements in group 1 are not reactive because they have one valence electron.,28
Equilibrium means objects have _____ temperatures.,28
Explain how convection is used in heating systems.,28
Explain how heating water on a stove demonstrates convection.,28
Explain the role of a subscript outside parentheses in a chemical formula.,28
"For groups 1, 2, and 13-18, the group number indicates the number of _____ electrons.",28
Forces that are equal in size and opposite in direction result in motion change.,28
Fossils are primarily found in _____ rocks.,28
Genetic variability from sexual reproduction can lead to _____ advantages.,28
Group 1 elements are highly reactive because they have one _____ electron.,28
Heat moves from cooler objects to warmer ones to reach equilibrium.,28
Heat release or absorption during a reaction indicates a _____ change.,28
Homeostasis maintains a stable _____ environment in the body.,28
How are igneous rocks formed from magma?,28
How are joint movements enabled?,28
How are metamorphic rocks formed from igneous or sedimentary rocks?,28
How can genetic diversity from sexual reproduction be considered a disadvantage?,28
How can wind turbines impact wildlife?,28
How do balanced forces affect the speed of a moving object?,28
How do igneous rocks transform into sedimentary rocks?,28
How do kidneys regulate the body's fluid balance?,28
How do the offspring produced by asexual reproduction compare to their parent genetically?,28
How do you calculate net force?,28
How do you calculate the net force acting on an object?,28
How does breaking chalk demonstrate a physical change?,28
